,0
0,1
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,1
35,1
36,0
37,0
38,1
39,1
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,0
48,1
49,1
50,1
51,1
52,0
53,0
54,1
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,0
102,0
103,0
104,0
105,1
106,1
107,0
108,0
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,1
